bridge_tag,questions,construct,crosswalk_status,primary_outcome,secondary_outcome,outcome_confidence,ambiguity,gated_only,reason
"COGNITIVE_WELLNESS",40,"",REVIEW_REQUIRED,"holistic_wellbeing","confidence_stability",0.1,0.8,false,"REVIEW candidates → 5 model(s); primary holistic_wellbeing"
"COLLABORATION_OWNERSHIP",250,"PEER_RELATIONS",HIGH_CONFIDENCE,"confidence_stability","",0.85,0,false,"HIGH construct PEER_RELATIONS → 1 model(s); primary confidence_stability"
"COLLEGE_ADAPTATION",40,"COLLEGE_ADAPT",HIGH_CONFIDENCE,"career_clarity","",0.95,0,false,"HIGH construct COLLEGE_ADAPT → 1 model(s); primary career_clarity"
"COMMUNICATION_BEHAVIOR",50,"COMMUNICATION",HIGH_CONFIDENCE,"employability_readiness","",0.85,0,false,"HIGH construct COMMUNICATION → 1 model(s); primary employability_readiness"
"COMMUNICATION_DEVELOPMENT",40,"COMMUNICATION",HIGH_CONFIDENCE,"employability_readiness","",0.85,0,false,"HIGH construct COMMUNICATION → 1 model(s); primary employability_readiness"
"COMMUNICATION_EXPRESSION",150,"COMMUNICATION",HIGH_CONFIDENCE,"employability_readiness","",0.95,0,false,"HIGH construct COMMUNICATION → 1 model(s); primary employability_readiness"
"COMMUNICATION_LEADERSHIP",40,"COMMUNICATION",HIGH_CONFIDENCE,"employability_readiness","",0.85,0,false,"HIGH construct COMMUNICATION → 1 model(s); primary employability_readiness"
"COMPETENCY_DEVELOPMENT",1014,"SKILL_AWARENESS",HIGH_CONFIDENCE,"employability_readiness","career_clarity",0.425,0.5,false,"HIGH construct SKILL_AWARENESS → 2 model(s); primary employability_readiness"
"COMPETENCY_INTELLIGENCE",50,"SKILL_AWARENESS",HIGH_CONFIDENCE,"employability_readiness","career_clarity",0.425,0.5,false,"HIGH construct SKILL_AWARENESS → 2 model(s); primary employability_readiness"
"COMPETITIVE_ADAPTATION",50,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"COMPETITIVE_EXAM",75,"EXAM_READINESS",HIGH_CONFIDENCE,"exam_readiness","",0.95,0,true,"HIGH construct EXAM_READINESS → 1 model(s); primary exam_readiness"
"CONFIDENCE_BUILDING",300,"SELF_ESTEEM",HIGH_CONFIDENCE,"confidence_stability","",0.95,0,false,"HIGH construct SELF_ESTEEM → 1 model(s); primary confidence_stability"
"CONFIDENCE_DEVELOPMENT",165,"SELF_ESTEEM",HIGH_CONFIDENCE,"confidence_stability","",0.95,0,false,"HIGH construct SELF_ESTEEM → 1 model(s); primary confidence_stability"
"CONFIDENCE_SELF",650,"SELF_ESTEEM",HIGH_CONFIDENCE,"confidence_stability","",0.95,0,false,"HIGH construct SELF_ESTEEM → 1 model(s); primary confidence_stability"
"DECISION_ANXIETY",40,"",REVIEW_REQUIRED,"confidence_stability","learning_effectiveness",0.167,0.667,false,"REVIEW candidates → 3 model(s); primary confidence_stability"
"DECISION_COACHING",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
