family_name,concern_count,primary_concern_ids
Information Family 2,2,CONCERN_COM_279|CONCERN_MOT_151
Learning Family 6,2,CONCERN_COM_312|CONCERN_LEA_1590
Assessments Family 2,2,CONCERN_DIS_488|CONCERN_COM_370
Practical Family,2,CONCERN_COM_377|CONCERN_STU_1421
Authentic Family,2,CONCERN_COM_405|CONCERN_WOR_737
Career Family 14,2,CONCERN_COM_575|CONCERN_HOL_521
Performance Family 3,2,CONCERN_LEA_2257|CONCERN_COM_663
Consistent Family,2,CONCERN_COM_677|CONCERN_EMP_69
Change Family,2,CONCERN_COM_909|CONCERN_LEA_833
Distractions Family,2,CONCERN_CON_1107|CONCERN_EXA_2057
Creativity Family,2,CONCERN_LEA_1979|CONCERN_CON_1205
Burnout Family,2,CONCERN_CON_1754|CONCERN_EXA_1820
Social Family,2,CONCERN_CON_1782|CONCERN_SOC_2388
Dependency Family,2,CONCERN_CON_1805|CONCERN_THI_1769
Criticism Family,2,CONCERN_CON_1843|CONCERN_GRO_1637
Emotional Family 9,2,CONCERN_CON_1844|CONCERN_LIF_1740
Competency Family,2,CONCERN_CON_352|CONCERN_EMO_1611
Learn Family,2,CONCERN_CON_414|CONCERN_EMO_744
Boundaries Family,2,CONCERN_CON_439|CONCERN_WOR_703
Sustainable Family,2,CONCERN_CON_520|CONCERN_EMO_560
Strategic Family 2,2,CONCERN_CON_629|CONCERN_EMO_790
Credibility Family,2,CONCERN_CON_728|CONCERN_WOR_1124
Diverse Family,2,CONCERN_CON_848|CONCERN_LIF_878
Interactions Family,2,CONCERN_DEC_1470|CONCERN_EMP_429
Performers Family,2,CONCERN_STU_1303|CONCERN_DIS_105
Emotional Family 11,2,CONCERN_DIS_110|CONCERN_EXA_2359
Peer Family 2,2,CONCERN_DIS_1745|CONCERN_SEL_117
Subject Family,2,CONCERN_EXA_2028|CONCERN_DIS_178
Completion Family,2,CONCERN_DIS_1944|CONCERN_SOC_1694
Motivation Family 2,2,CONCERN_DIS_1985|CONCERN_DIS_2473
Academic Family 13,2,CONCERN_DIS_1990|CONCERN_DIS_2478
Oral Family,2,CONCERN_DIS_1996|CONCERN_DIS_2484
Academic Family 15,2,CONCERN_DIS_2403|CONCERN_LIF_2418
Ideas Family,2,CONCERN_EMO_1112|CONCERN_WOR_704
Culture Family,2,CONCERN_EMO_1236|CONCERN_MOT_1165
Isolation Family,2,CONCERN_EMO_1298|CONCERN_EXA_1748
Profile Family,2,CONCERN_EMO_1328|CONCERN_EMP_364
Initiative Family 2,2,CONCERN_EMO_1472|CONCERN_EMP_1092
Improvement Family,2,CONCERN_THI_287|CONCERN_EMO_1633
Innovation Family,2,CONCERN_LEA_1117|CONCERN_EMO_589
Credibility Family 2,2,CONCERN_EMO_696|CONCERN_LIF_426
Career Family 17,2,CONCERN_EMO_754|CONCERN_MOT_648
Alignment Family,2,CONCERN_EMO_890|CONCERN_STR_902
Initiatives Family,2,CONCERN_THI_812|CONCERN_EMO_914
From Family 2,2,CONCERN_EMO_948|CONCERN_HOL_761
Capability Family,2,CONCERN_EMP_1238|CONCERN_SOC_1314
Networking Family 2,2,CONCERN_EMP_14|CONCERN_WOR_1337
World Family,2,CONCERN_EMP_20|CONCERN_MOT_1837
Projects Family,2,CONCERN_EXA_63|CONCERN_EMP_27
Emotionally Family 3,2,CONCERN_EXA_1916|CONCERN_SOC_1881
Fast Family,2,CONCERN_EXA_1988|CONCERN_EXA_2476
Conceptual Family 3,2,CONCERN_EXA_2060|CONCERN_EXA_2278
Conceptual Family 4,2,CONCERN_EXA_2071|CONCERN_EXA_2228
Comparison Family,2,CONCERN_THI_1207|CONCERN_EXA_2139
Goals Family,2,CONCERN_EXA_218|CONCERN_IDE_1504
Interpretation Family,2,CONCERN_EXA_2196|CONCERN_THI_2250
Assessments Family 3,2,CONCERN_EXA_2360|CONCERN_LEA_2111
Habits Family 2,2,CONCERN_EXA_2465|CONCERN_INT_2291
Professional Family 3,2,CONCERN_EXA_489|CONCERN_LIF_1158
Comparing Family,2,CONCERN_HAB_1629|CONCERN_SEL_1564
Curiosity Family,2,CONCERN_IDE_1508|CONCERN_REC_1550
Networking Family 3,2,CONCERN_INC_1484|CONCERN_LEA_40
Mathematics Family,2,CONCERN_INT_2217|CONCERN_PER_1359
Excellence Family,2,CONCERN_ORG_1179|CONCERN_LEA_1259
Cognitive Family 3,2,CONCERN_LEA_1309|CONCERN_PER_1600
Exam Family 2,2,CONCERN_MOT_2124|CONCERN_LEA_1349
Grades Family,2,CONCERN_THI_2275|CONCERN_LEA_1365
Adaptability Family 3,2,CONCERN_LEA_1419|CONCERN_PER_1518
Preparedness Family,2,CONCERN_LEA_1987|CONCERN_LEA_2475
